Question,Answer,Answer choices,Start timestamp,End timestamp,Known start timestamp,Known end timestamp,Question type
What government position does Rosemary S. Pooler hold?,Senior Judge of the United States Court of Appeals for the Second Circuit,,2022-03-23T00:00:00Z,2023-08-10T00:00:00Z,2023-08-01T00:00:00Z,,position held
Does Rosemary S. Pooler hold government position Senior Judge of the United States Court of Appeals for the Second Circuit?,yes,,2022-03-23T00:00:00Z,2023-08-10T00:00:00Z,2023-08-01T00:00:00Z,,position held
Does Rosemary S. Pooler hold government position Senior Judge of the United States Court of Appeals for the Second Circuit?,no,,,2022-03-23T00:00:00Z,,2023-08-01T00:00:00Z,position held
What government position does John McGuire hold?,member of the State Senate of Virginia,,2024-01-01T00:00:00Z,2024-04-25T19:00:32Z,2024-03-01T00:00:00Z,,position held
Does John McGuire hold government position member of the State Senate of Virginia?,yes,,2024-01-01T00:00:00Z,2024-04-25T19:00:32Z,2024-03-01T00:00:00Z,,position held
Does John McGuire hold government position member of the State Senate of Virginia?,no,,,2024-01-01T00:00:00Z,,2024-03-01T00:00:00Z,position held
What government position does Shelton Fabre hold?,diocesan bishop Roman Catholic Diocese of Houma-Thibodaux,,2013-09-23T00:00:00Z,2022-02-08T00:00:00Z,2022-02-01T00:00:00Z,2023-07-01T00:00:00Z,position held
Does Shelton Fabre hold government position diocesan bishop Roman Catholic Diocese of Houma-Thibodaux?,yes,,2013-09-23T00:00:00Z,2022-02-08T00:00:00Z,2022-02-01T00:00:00Z,2023-07-01T00:00:00Z,position held
Does Shelton Fabre hold government position diocesan bishop Roman Catholic Diocese of Houma-Thibodaux?,no,,2022-02-08T00:00:00Z,,2023-07-01 00:00:00,,position held
What government position does Tom Pursglove hold?,Minister of State for Immigration,,2022-09-07T00:00:00Z,2022-10-25T00:00:00Z,2022-10-01T00:00:00Z,2023-07-01T00:00:00Z,position held
Does Tom Pursglove hold government position Minister of State for Immigration?,yes,,2022-09-07T00:00:00Z,2022-10-25T00:00:00Z,2022-10-01T00:00:00Z,2023-07-01T00:00:00Z,position held
Does Tom Pursglove hold government position Minister of State for Immigration?,no,,2022-10-25T00:00:00Z,,2023-07-01 00:00:00,,position held
What government position does Eric Schmitt hold?,United States senator,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Eric Schmitt hold government position United States senator?,yes,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Eric Schmitt hold government position United States senator?,no,,,2023-01-03T00:00:00Z,,2023-01-01T00:00:00Z,position held
What government position does David Eby hold?,Premier of British Columbia,,2022-11-18T00:00:00Z,2024-04-25T19:00:32Z,2022-12-01T00:00:00Z,,position held
Does David Eby hold government position Premier of British Columbia?,yes,,2022-11-18T00:00:00Z,2024-04-25T19:00:32Z,2022-12-01T00:00:00Z,,position held
Does David Eby hold government position Premier of British Columbia?,no,,,2022-11-18T00:00:00Z,,2022-12-01T00:00:00Z,position held
What government position does Shelton Fabre hold?,apostolic administrator Roman Catholic Diocese of Knoxville,,2023-06-27T00:00:00Z,2024-04-25T19:00:32Z,2023-07-01T00:00:00Z,,position held
Does Shelton Fabre hold government position apostolic administrator Roman Catholic Diocese of Knoxville?,yes,,2023-06-27T00:00:00Z,2024-04-25T19:00:32Z,2023-07-01T00:00:00Z,,position held
Does Shelton Fabre hold government position apostolic administrator Roman Catholic Diocese of Knoxville?,no,,,2023-06-27T00:00:00Z,,2023-07-01T00:00:00Z,position held
What government position does Tony Burke hold?,Minister for the Arts,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
Does Tony Burke hold government position Minister for the Arts?,yes,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
What government position does Moe Maestas hold?,member of the State Senate of New Mexico,,2022-11-16T00:00:00Z,2024-04-25T19:00:32Z,2022-11-16T00:00:00Z,,position held
Does Moe Maestas hold government position member of the State Senate of New Mexico?,yes,,2022-11-16T00:00:00Z,2024-04-25T19:00:32Z,2022-11-16T00:00:00Z,,position held
Does Moe Maestas hold government position member of the State Senate of New Mexico?,no,,,2022-11-16T00:00:00Z,,2022-11-16T00:00:00Z,position held
What government position does Frank Leo hold?,Roman Catholic Archbishop of Toronto,,2023-02-11T00:00:00Z,2024-04-25T19:00:32Z,2023-02-11T00:00:00Z,,position held
Does Frank Leo hold government position Roman Catholic Archbishop of Toronto?,yes,,2023-02-11T00:00:00Z,2024-04-25T19:00:32Z,2023-02-11T00:00:00Z,,position held
Does Frank Leo hold government position Roman Catholic Archbishop of Toronto?,no,,,2023-02-11T00:00:00Z,,2023-02-11T00:00:00Z,position held
What government position does Lee Rowley hold?,Parliamentary Under-Secretary of State for Business and Industry,,2021-09-17T00:00:00Z,2022-07-06T00:00:00Z,2022-05-01T00:00:00Z,2023-11-01T00:00:00Z,position held
Does Lee Rowley hold government position Parliamentary Under-Secretary of State for Business and Industry?,yes,,2021-09-17T00:00:00Z,2022-07-06T00:00:00Z,2022-05-01T00:00:00Z,2023-11-01T00:00:00Z,position held
Does Lee Rowley hold government position Parliamentary Under-Secretary of State for Business and Industry?,no,,2022-07-06T00:00:00Z,,2023-11-01 00:00:00,,position held
What government position does Mark Spencer hold?,Leader of the House of Commons,,2022-02-08T00:00:00Z,2022-09-06T00:00:00Z,2023-02-11T00:00:00Z,,position held
Does Mark Spencer hold government position Leader of the House of Commons?,yes,,2022-02-08T00:00:00Z,2022-09-06T00:00:00Z,2023-02-11T00:00:00Z,,position held
What government position does Charles III of the United Kingdom hold?,monarch of Jamaica,,2022-09-08T00:00:00Z,2024-04-25T19:00:32Z,2022-09-01T00:00:00Z,,position held
Does Charles III of the United Kingdom hold government position monarch of Jamaica?,yes,,2022-09-08T00:00:00Z,2024-04-25T19:00:32Z,2022-09-01T00:00:00Z,,position held
What government position does Rishi Sunak hold?,First Lord of the Treasury,,2022-10-25T00:00:00Z,2024-04-25T19:00:32Z,2022-11-01T00:00:00Z,,position held
Does Rishi Sunak hold government position First Lord of the Treasury?,yes,,2022-10-25T00:00:00Z,2024-04-25T19:00:32Z,2022-11-01T00:00:00Z,,position held
Does Rishi Sunak hold government position First Lord of the Treasury?,no,,,2022-10-25T00:00:00Z,,2022-11-01T00:00:00Z,position held
What government position does Trudy Harrison hold?,Parliamentary Under-Secretary of State for Transport,,2021-09-16T00:00:00Z,2022-07-07T00:00:00Z,2022-01-01T00:00:00Z,2022-07-01T00:00:00Z,position held
Does Trudy Harrison hold government position Parliamentary Under-Secretary of State for Transport?,yes,,2021-09-16T00:00:00Z,2022-07-07T00:00:00Z,2022-01-01T00:00:00Z,2022-07-01T00:00:00Z,position held
Does Trudy Harrison hold government position Parliamentary Under-Secretary of State for Transport?,no,,2022-07-07T00:00:00Z,,2022-07-01 00:00:00,,position held
What government position does Trudy Harrison hold?,Minister of State for Transport,,2022-07-07T00:00:00Z,2022-09-07T00:00:00Z,2022-07-01T00:00:00Z,,position held
Does Trudy Harrison hold government position Minister of State for Transport?,yes,,2022-07-07T00:00:00Z,2022-09-07T00:00:00Z,2022-07-01T00:00:00Z,,position held
Does Trudy Harrison hold government position Minister of State for Transport?,no,,,2022-07-07T00:00:00Z,,2022-07-01T00:00:00Z,position held
What government position does Michael H. Schill hold?,President of the University of Oregon,,2015-01-01T00:00:00Z,2022-01-01T00:00:00Z,2015-05-01T00:00:00Z,2022-08-01T00:00:00Z,position held
Does Michael H. Schill hold government position President of the University of Oregon?,yes,,2015-01-01T00:00:00Z,2022-01-01T00:00:00Z,2015-05-01T00:00:00Z,2022-08-01T00:00:00Z,position held
Does Michael H. Schill hold government position President of the University of Oregon?,no,,2022-01-01T00:00:00Z,,2022-08-01 00:00:00,,position held
What government position does Radosław Sikorski hold?,Minister of Foreign Affairs of Poland,,2023-12-13T00:00:00Z,2024-04-25T19:00:32Z,2024-03-01T00:00:00Z,,position held
Does Radosław Sikorski hold government position Minister of Foreign Affairs of Poland?,yes,,2023-12-13T00:00:00Z,2024-04-25T19:00:32Z,2024-03-01T00:00:00Z,,position held
Does Radosław Sikorski hold government position Minister of Foreign Affairs of Poland?,no,,,2023-12-13T00:00:00Z,,2024-03-01T00:00:00Z,position held
What government position does Radosław Sikorski hold?,member of the European Parliament,,2019-07-02T00:00:00Z,2023-12-12T00:00:00Z,2023-01-14T00:00:00Z,2024-03-01T00:00:00Z,position held
Does Radosław Sikorski hold government position member of the European Parliament?,yes,,2019-07-02T00:00:00Z,2023-12-12T00:00:00Z,2023-01-14T00:00:00Z,2024-03-01T00:00:00Z,position held
Does Radosław Sikorski hold government position member of the European Parliament?,no,,2023-12-12T00:00:00Z,,2024-03-01 00:00:00,,position held
What government position does David W. Allvin hold?,Chief of Staff of the United States Air Force,,2023-11-02T00:00:00Z,2024-04-25T19:00:32Z,2023-11-01T00:00:00Z,,position held
Does David W. Allvin hold government position Chief of Staff of the United States Air Force?,yes,,2023-11-02T00:00:00Z,2024-04-25T19:00:32Z,2023-11-01T00:00:00Z,,position held
Does David W. Allvin hold government position Chief of Staff of the United States Air Force?,no,,,2023-11-02T00:00:00Z,,2023-11-01T00:00:00Z,position held
What government position does Murray Watt hold?,Minister for Emergency Management and National Recovery and Resilience,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-09-01T00:00:00Z,,position held
Does Murray Watt hold government position Minister for Emergency Management and National Recovery and Resilience?,yes,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-09-01T00:00:00Z,,position held
What government position does Stephen Wright hold?,Roman Catholic Bishop of Hexham and Newcastle,,2023-06-14T00:00:00Z,2024-04-25T19:00:32Z,2023-06-01T00:00:00Z,,position held
Does Stephen Wright hold government position Roman Catholic Bishop of Hexham and Newcastle?,yes,,2023-06-14T00:00:00Z,2024-04-25T19:00:32Z,2023-06-01T00:00:00Z,,position held
Does Stephen Wright hold government position Roman Catholic Bishop of Hexham and Newcastle?,no,,,2023-06-14T00:00:00Z,,2023-06-01T00:00:00Z,position held
What government position does Chris Philp hold?,Paymaster General,,2022-10-14T00:00:00Z,2022-10-25T00:00:00Z,2022-11-01T00:00:00Z,,position held
Does Chris Philp hold government position Paymaster General?,yes,,2022-10-14T00:00:00Z,2022-10-25T00:00:00Z,2022-11-01T00:00:00Z,,position held
Does Chris Philp hold government position Paymaster General?,no,,,2022-10-14T00:00:00Z,,2022-11-01T00:00:00Z,position held
What government position does Will Quince hold?,Parliamentary Under-Secretary of State for Children and Families,,2021-09-16T00:00:00Z,2022-07-06T00:00:00Z,2021-12-01T00:00:00Z,2022-08-01T00:00:00Z,position held
Does Will Quince hold government position Parliamentary Under-Secretary of State for Children and Families?,yes,,2021-09-16T00:00:00Z,2022-07-06T00:00:00Z,2021-12-01T00:00:00Z,2022-08-01T00:00:00Z,position held
Does Will Quince hold government position Parliamentary Under-Secretary of State for Children and Families?,no,,2022-07-06T00:00:00Z,,2022-08-01 00:00:00,,position held
What government position does Charles III of the United Kingdom hold?,monarch of Saint Vincent and the Grenadines,,2022-09-08T00:00:00Z,2024-04-25T19:00:32Z,2022-09-01T00:00:00Z,,position held
Does Charles III of the United Kingdom hold government position monarch of Saint Vincent and the Grenadines?,yes,,2022-09-08T00:00:00Z,2024-04-25T19:00:32Z,2022-09-01T00:00:00Z,,position held
What government position does Charles III of the United Kingdom hold?,monarch of Belize,,2022-09-08T00:00:00Z,2024-04-25T19:00:32Z,2022-09-01T00:00:00Z,,position held
Does Charles III of the United Kingdom hold government position monarch of Belize?,yes,,2022-09-08T00:00:00Z,2024-04-25T19:00:32Z,2022-09-01T00:00:00Z,,position held
What government position does Ian Gorst hold?,Minister for Treasury and Resources,,2022-07-12T00:00:00Z,2024-04-25T19:00:32Z,2022-11-01T00:00:00Z,,position held
Does Ian Gorst hold government position Minister for Treasury and Resources?,yes,,2022-07-12T00:00:00Z,2024-04-25T19:00:32Z,2022-11-01T00:00:00Z,,position held
Does Ian Gorst hold government position Minister for Treasury and Resources?,no,,,2022-07-12T00:00:00Z,,2022-11-01T00:00:00Z,position held
What government position does Robert Barron hold?,auxiliary bishop Roman Catholic Archdiocese of Los Angeles,,2015-07-21T00:00:00Z,2022-06-02T00:00:00Z,2015-09-01T00:00:00Z,2024-02-01T00:00:00Z,position held
Does Robert Barron hold government position auxiliary bishop Roman Catholic Archdiocese of Los Angeles?,yes,,2015-07-21T00:00:00Z,2022-06-02T00:00:00Z,2015-09-01T00:00:00Z,2024-02-01T00:00:00Z,position held
Does Robert Barron hold government position auxiliary bishop Roman Catholic Archdiocese of Los Angeles?,no,,2022-06-02T00:00:00Z,,2024-02-01 00:00:00,,position held
What government position does William S. Cogswell Jr. hold?,member of the South Carolina House of Representatives,,2016-11-14T00:00:00Z,2022-11-14T00:00:00Z,2018-10-31T00:00:00Z,2024-01-01T00:00:00Z,position held
Does William S. Cogswell Jr. hold government position member of the South Carolina House of Representatives?,yes,,2016-11-14T00:00:00Z,2022-11-14T00:00:00Z,2018-10-31T00:00:00Z,2024-01-01T00:00:00Z,position held
Does William S. Cogswell Jr. hold government position member of the South Carolina House of Representatives?,no,,2022-11-14T00:00:00Z,,2024-01-01 00:00:00,,position held
What government position does Ranil Jayawardena hold?,Parliamentary Under-Secretary of State for International Trade,,2020-05-05T00:00:00Z,2022-09-06T00:00:00Z,2021-08-01T00:00:00Z,2022-09-01T00:00:00Z,position held
Does Ranil Jayawardena hold government position Parliamentary Under-Secretary of State for International Trade?,yes,,2020-05-05T00:00:00Z,2022-09-06T00:00:00Z,2021-08-01T00:00:00Z,2022-09-01T00:00:00Z,position held
Does Ranil Jayawardena hold government position Parliamentary Under-Secretary of State for International Trade?,no,,2022-09-06T00:00:00Z,,2022-09-01 00:00:00,,position held
What government position does David Rutley hold?,Parliamentary Under-Secretary of State for Welfare Delivery,,2021-09-17T00:00:00Z,2022-09-20T00:00:00Z,2022-01-26T00:00:00Z,2023-01-01T00:00:00Z,position held
Does David Rutley hold government position Parliamentary Under-Secretary of State for Welfare Delivery?,yes,,2021-09-17T00:00:00Z,2022-09-20T00:00:00Z,2022-01-26T00:00:00Z,2023-01-01T00:00:00Z,position held
Does David Rutley hold government position Parliamentary Under-Secretary of State for Welfare Delivery?,no,,2022-09-20T00:00:00Z,,2023-01-01 00:00:00,,position held
What government position does David Rutley hold?,Parliamentary Under-Secretary of State for Americas and Caribbean,,2022-10-27T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does David Rutley hold government position Parliamentary Under-Secretary of State for Americas and Caribbean?,yes,,2022-10-27T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does David Rutley hold government position Parliamentary Under-Secretary of State for Americas and Caribbean?,no,,,2022-10-27T00:00:00Z,,2023-01-01T00:00:00Z,position held
What government position does Frank Leo hold?,auxiliary bishop Archdiocese of Montréal,,2022-07-16T00:00:00Z,2023-02-11T00:00:00Z,2023-02-01T00:00:00Z,2023-02-11T00:00:00Z,position held
Does Frank Leo hold government position auxiliary bishop Archdiocese of Montréal?,yes,,2022-07-16T00:00:00Z,2023-02-11T00:00:00Z,2023-02-01T00:00:00Z,2023-02-11T00:00:00Z,position held
Does Frank Leo hold government position auxiliary bishop Archdiocese of Montréal?,no,,2023-02-11T00:00:00Z,,2023-02-11 00:00:00,,position held
What government position does Karen Bass hold?,Mayor of the City of Los Angeles,,2022-12-12T00:00:00Z,2024-04-25T19:00:32Z,2022-12-01T00:00:00Z,,position held
Does Karen Bass hold government position Mayor of the City of Los Angeles?,yes,,2022-12-12T00:00:00Z,2024-04-25T19:00:32Z,2022-12-01T00:00:00Z,,position held
Does Karen Bass hold government position Mayor of the City of Los Angeles?,no,,,2022-12-12T00:00:00Z,,2022-12-01T00:00:00Z,position held
What government position does Jennifer McClellan hold?,member of the State Senate of Virginia,,2017-01-13T00:00:00Z,2023-03-07T00:00:00Z,2020-07-01T00:00:00Z,2023-03-01T00:00:00Z,position held
Does Jennifer McClellan hold government position member of the State Senate of Virginia?,yes,,2017-01-13T00:00:00Z,2023-03-07T00:00:00Z,2020-07-01T00:00:00Z,2023-03-01T00:00:00Z,position held
Does Jennifer McClellan hold government position member of the State Senate of Virginia?,no,,2023-03-07T00:00:00Z,,2023-03-01 00:00:00,,position held
What government position does Jennifer McClellan hold?,United States representative,,2023-03-07T00:00:00Z,2024-04-25T19:00:32Z,2023-03-01T00:00:00Z,,position held
Does Jennifer McClellan hold government position United States representative?,yes,,2023-03-07T00:00:00Z,2024-04-25T19:00:32Z,2023-03-01T00:00:00Z,,position held
Does Jennifer McClellan hold government position United States representative?,no,,,2023-03-07T00:00:00Z,,2023-03-01T00:00:00Z,position held
What government position does John Carey hold?,Minister for Homelessness,,2021-12-21T00:00:00Z,2024-04-25T19:00:32Z,2022-07-01T00:00:00Z,,position held
Does John Carey hold government position Minister for Homelessness?,yes,,2021-12-21T00:00:00Z,2024-04-25T19:00:32Z,2022-07-01T00:00:00Z,,position held
What government position does John Carey hold?,Minister for Lands,,2021-12-21T00:00:00Z,2024-04-25T19:00:32Z,2022-03-01T00:00:00Z,,position held
Does John Carey hold government position Minister for Lands?,yes,,2021-12-21T00:00:00Z,2024-04-25T19:00:32Z,2022-03-01T00:00:00Z,,position held
What government position does Stephen Jones hold?,Minister for Financial Services,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
Does Stephen Jones hold government position Minister for Financial Services?,yes,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
What government position does William Terrence McGrattan hold?,president of the Canadian Conference of Catholic Bishop Canadian Conference of Catholic Bishops,,2023-09-28T00:00:00Z,2024-04-25T19:00:32Z,2024-03-01T00:00:00Z,,position held
Does William Terrence McGrattan hold government position president of the Canadian Conference of Catholic Bishop Canadian Conference of Catholic Bishops?,yes,,2023-09-28T00:00:00Z,2024-04-25T19:00:32Z,2024-03-01T00:00:00Z,,position held
Does William Terrence McGrattan hold government position president of the Canadian Conference of Catholic Bishop Canadian Conference of Catholic Bishops?,no,,,2023-09-28T00:00:00Z,,2024-03-01T00:00:00Z,position held
What government position does Mark Spencer hold?,Lord President of the Council,,2022-02-08T00:00:00Z,2022-09-06T00:00:00Z,2022-02-01T00:00:00Z,,position held
Does Mark Spencer hold government position Lord President of the Council?,yes,,2022-02-08T00:00:00Z,2022-09-06T00:00:00Z,2022-02-01T00:00:00Z,,position held
What government position does Guy Opperman hold?,Minister of State for Employment,,2022-10-27T00:00:00Z,2023-11-13T00:00:00Z,2022-11-01T00:00:00Z,2023-12-01T00:00:00Z,position held
Does Guy Opperman hold government position Minister of State for Employment?,yes,,2022-10-27T00:00:00Z,2023-11-13T00:00:00Z,2022-11-01T00:00:00Z,2023-12-01T00:00:00Z,position held
Does Guy Opperman hold government position Minister of State for Employment?,no,,2023-11-13T00:00:00Z,,2023-12-01 00:00:00,,position held
What government position does Guy Opperman hold?,Parliamentary Under Secretary of State for Roads and Local Transport,,2023-11-13T00:00:00Z,2024-04-25T19:00:32Z,2023-12-01T00:00:00Z,,position held
Does Guy Opperman hold government position Parliamentary Under Secretary of State for Roads and Local Transport?,yes,,2023-11-13T00:00:00Z,2024-04-25T19:00:32Z,2023-12-01T00:00:00Z,,position held
Does Guy Opperman hold government position Parliamentary Under Secretary of State for Roads and Local Transport?,no,,,2023-11-13T00:00:00Z,,2023-12-01T00:00:00Z,position held
What government position does Jeremy Rockliff hold?,Deputy Premier of Tasmania,,2014-03-31T00:00:00Z,2022-04-08T00:00:00Z,2020-02-01T00:00:00Z,2022-06-01T00:00:00Z,position held
Does Jeremy Rockliff hold government position Deputy Premier of Tasmania?,yes,,2014-03-31T00:00:00Z,2022-04-08T00:00:00Z,2020-02-01T00:00:00Z,2022-06-01T00:00:00Z,position held
Does Jeremy Rockliff hold government position Deputy Premier of Tasmania?,no,,2022-04-08T00:00:00Z,,2022-06-01 00:00:00,,position held
What government position does Jeremy Rockliff hold?,Premier of Tasmania,,2022-04-08T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
Does Jeremy Rockliff hold government position Premier of Tasmania?,yes,,2022-04-08T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
Does Jeremy Rockliff hold government position Premier of Tasmania?,no,,,2022-04-08T00:00:00Z,,2022-06-01T00:00:00Z,position held
What government position does Jon Bramnick hold?,Member of the State Senate of New Jersey,,2022-01-11T00:00:00Z,2024-04-25T19:00:32Z,2022-02-01T00:00:00Z,,position held
Does Jon Bramnick hold government position Member of the State Senate of New Jersey?,yes,,2022-01-11T00:00:00Z,2024-04-25T19:00:32Z,2022-02-01T00:00:00Z,,position held
Does Jon Bramnick hold government position Member of the State Senate of New Jersey?,no,,,2022-01-11T00:00:00Z,,2022-02-01T00:00:00Z,position held
What government position does Josh Shapiro hold?,attorney general Pennsylvania,,2017-01-17T00:00:00Z,2023-01-17T00:00:00Z,2017-01-01T00:00:00Z,2023-03-01T00:00:00Z,position held
Does Josh Shapiro hold government position attorney general Pennsylvania?,yes,,2017-01-17T00:00:00Z,2023-01-17T00:00:00Z,2017-01-01T00:00:00Z,2023-03-01T00:00:00Z,position held
Does Josh Shapiro hold government position attorney general Pennsylvania?,no,,2023-01-17T00:00:00Z,,2023-03-01 00:00:00,,position held
What government position does Stephen Wright hold?,auxiliary bishop Roman Catholic Archdiocese of Birmingham,,2020-03-18T00:00:00Z,2023-06-14T00:00:00Z,2022-01-01T00:00:00Z,2023-06-01T00:00:00Z,position held
Does Stephen Wright hold government position auxiliary bishop Roman Catholic Archdiocese of Birmingham?,yes,,2020-03-18T00:00:00Z,2023-06-14T00:00:00Z,2022-01-01T00:00:00Z,2023-06-01T00:00:00Z,position held
Does Stephen Wright hold government position auxiliary bishop Roman Catholic Archdiocese of Birmingham?,no,,2023-06-14T00:00:00Z,,2023-06-01 00:00:00,,position held
What government position does Wendy Morton hold?,Parliamentary Under-Secretary of State for European Neighbourhood and the Americas,,2020-02-13T00:00:00Z,2021-12-19T00:00:00Z,2021-10-01T00:00:00Z,2022-02-01T00:00:00Z,position held
Does Wendy Morton hold government position Parliamentary Under-Secretary of State for European Neighbourhood and the Americas?,yes,,2020-02-13T00:00:00Z,2021-12-19T00:00:00Z,2021-10-01T00:00:00Z,2022-02-01T00:00:00Z,position held
Does Wendy Morton hold government position Parliamentary Under-Secretary of State for European Neighbourhood and the Americas?,no,,2021-12-19T00:00:00Z,,2022-02-01 00:00:00,,position held
What government position does Michelle Donelan hold?,"Secretary of State for Science, Innovation and Technology",,2023-02-07T00:00:00Z,2024-04-25T19:00:32Z,2023-03-01T00:00:00Z,,position held
"Does Michelle Donelan hold government position Secretary of State for Science, Innovation and Technology?",yes,,2023-02-07T00:00:00Z,2024-04-25T19:00:32Z,2023-03-01T00:00:00Z,,position held
"Does Michelle Donelan hold government position Secretary of State for Science, Innovation and Technology?",no,,,2023-02-07T00:00:00Z,,2023-03-01T00:00:00Z,position held
What government position does Wendy Morton hold?,Parliamentary Secretary to the Treasury,,2022-09-06T00:00:00Z,2022-10-25T00:00:00Z,2022-09-01T00:00:00Z,,position held
Does Wendy Morton hold government position Parliamentary Secretary to the Treasury?,yes,,2022-09-06T00:00:00Z,2022-10-25T00:00:00Z,2022-09-01T00:00:00Z,,position held
Does Wendy Morton hold government position Parliamentary Secretary to the Treasury?,no,,,2022-09-06T00:00:00Z,,2022-09-01T00:00:00Z,position held
What government position does Michael Matheson hold?,"Cabinet Secretary for Net Zero, Energy and Transport",,2021-05-18T00:00:00Z,2023-03-29T00:00:00Z,2021-08-01T00:00:00Z,2023-04-01T00:00:00Z,position held
"Does Michael Matheson hold government position Cabinet Secretary for Net Zero, Energy and Transport?",yes,,2021-05-18T00:00:00Z,2023-03-29T00:00:00Z,2021-08-01T00:00:00Z,2023-04-01T00:00:00Z,position held
"Does Michael Matheson hold government position Cabinet Secretary for Net Zero, Energy and Transport?",no,,2023-03-29T00:00:00Z,,2023-04-01 00:00:00,,position held
What government position does Nadhim Zahawi hold?,Chancellor of the Exchequer,,2022-07-05T00:00:00Z,2022-09-06T00:00:00Z,2022-07-01T00:00:00Z,2022-09-01T00:00:00Z,position held
Does Nadhim Zahawi hold government position Chancellor of the Exchequer?,yes,,2022-07-05T00:00:00Z,2022-09-06T00:00:00Z,2022-07-01T00:00:00Z,2022-09-01T00:00:00Z,position held
Does Nadhim Zahawi hold government position Chancellor of the Exchequer?,no,,,2022-07-05T00:00:00Z,,2022-07-01T00:00:00Z,position held
What government position does Nadhim Zahawi hold?,Secretary of State for Education,,2021-09-15T00:00:00Z,2022-07-05T00:00:00Z,2021-09-01T00:00:00Z,2022-07-01T00:00:00Z,position held
Does Nadhim Zahawi hold government position Secretary of State for Education?,yes,,2021-09-15T00:00:00Z,2022-07-05T00:00:00Z,2021-09-01T00:00:00Z,2022-07-01T00:00:00Z,position held
Does Nadhim Zahawi hold government position Secretary of State for Education?,no,,2022-07-05T00:00:00Z,,2022-07-01 00:00:00,,position held
What government position does Suella Braverman hold?,Attorney General for England and Wales,,2021-09-10T00:00:00Z,2022-09-06T00:00:00Z,2021-10-01T00:00:00Z,2022-11-01T00:00:00Z,position held
Does Suella Braverman hold government position Attorney General for England and Wales?,yes,,2021-09-10T00:00:00Z,2022-09-06T00:00:00Z,2021-10-01T00:00:00Z,2022-11-01T00:00:00Z,position held
Does Suella Braverman hold government position Attorney General for England and Wales?,no,,2022-09-06T00:00:00Z,,2022-11-01 00:00:00,,position held
What government position does Kate Green hold?,Deputy Mayor of Greater Manchester for Policing and Crime,,2023-01-09T00:00:00Z,2024-04-25T19:00:32Z,2023-04-01T00:00:00Z,,position held
Does Kate Green hold government position Deputy Mayor of Greater Manchester for Policing and Crime?,yes,,2023-01-09T00:00:00Z,2024-04-25T19:00:32Z,2023-04-01T00:00:00Z,,position held
Does Kate Green hold government position Deputy Mayor of Greater Manchester for Policing and Crime?,no,,,2023-01-09T00:00:00Z,,2023-04-01T00:00:00Z,position held
What government position does Emma McBride hold?,Assistant Minister for Mental Health and Suicide Prevention,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2023-12-01T00:00:00Z,,position held
Does Emma McBride hold government position Assistant Minister for Mental Health and Suicide Prevention?,yes,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2023-12-01T00:00:00Z,,position held
What government position does Patty Murray hold?,President pro tempore of the United States Senate,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Patty Murray hold government position President pro tempore of the United States Senate?,yes,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Patty Murray hold government position President pro tempore of the United States Senate?,no,,,2023-01-03T00:00:00Z,,2023-01-01T00:00:00Z,position held
What government position does Suella Braverman hold?,Home Secretary,,2022-09-06T00:00:00Z,2023-11-13T00:00:00Z,2022-11-01T00:00:00Z,,position held
Does Suella Braverman hold government position Home Secretary?,yes,,2022-09-06T00:00:00Z,2023-11-13T00:00:00Z,2022-11-01T00:00:00Z,,position held
Does Suella Braverman hold government position Home Secretary?,no,,,2022-09-06T00:00:00Z,,2022-11-01T00:00:00Z,position held
What government position does Karine Jean-Pierre hold?,White House Deputy Press Secretary,,2021-01-20T00:00:00Z,2022-05-13T00:00:00Z,2021-03-01T00:00:00Z,2022-05-01T00:00:00Z,position held
Does Karine Jean-Pierre hold government position White House Deputy Press Secretary?,yes,,2021-01-20T00:00:00Z,2022-05-13T00:00:00Z,2021-03-01T00:00:00Z,2022-05-01T00:00:00Z,position held
