subjectLabel,propertyLabel,objectLabel,startDate,endDate,selected_link,source_date,span,annotator,notes
Southwest Airlines,chief executive officer,Gary C. Kelly,2004-07-01T00:00:00Z,2022-02-01T00:00:00Z,https://www.washingtonpost.com/archive/business/2004/07/16/parker-abruptly-quits-as-southwests-chief/5889b14b-abd5-4650-866a-a058450f5414/,08/2004,"After three years as chief executive of the nation's most profitable low-cost carrier, James F. Parker, 57, said a ""combination of things"" led to his decision to leave.",65f9b8af596731ac2060902c,
Lacey Evans,employer,WWE Monday Night RAW,2018-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://wrestlingheadlines.com/lacey-evans-is-legitimately-pregnant-announcement-made-during-wwe-raw-match/,03/2021,"Tonight’s RAW saw Evans announce that she is pregnant, insinuating that WWE Hall of Famer Ric Flair is the father.

It looked like Evans made the announcement to avoid a beating by Charlotte Flair during a tag team match, but WrestlingInc reports that Evans is legitimately pregnant. This is the RAW storyline that was being re-written, as noted earlier this evening.",65f9b8af596731ac2060902c,
Ingrid Schaffner,employer,Hauser & Wirth,2023-01-01T00:00:00Z,,https://www.artnews.com/art-news/news/ingrid-schaffner-joins-hauser-and-wirth-curatorial-team-1234678541/,9/6/2023,"Ingrid Schaffner Joins Hauser & Wirth’s Curatorial Team After Departing Marfa’s Chinati Foundation
September 6, 2023",5685850c333cbd000d4e042f,
Laurie Leshin,employer,Worcester Polytechnic Institute,2014-07-01T00:00:00Z,2022-05-01T00:00:00Z,https://www.caltech.edu/about/news/caltech-alum-leshin-named-president-worcester-polytechnic-institute-41870,1/24/2014,"Caltech Alum Leshin Named President of Worcester Polytechnic Institute
January 24, 2014",5685850c333cbd000d4e042f,
Tom Stallard,employer,Northumbria University,2022-09-01T00:00:00Z,,https://newsroom.northumbria.ac.uk/pressreleases/telescope-to-provide-insight-into-solar-system-lightshows-3311693,04/2024,"Professor Tom Stallard, of Northumbria University, specialises in exploring auroral activity in giant gas planets such as Jupiter, Saturn, Uranus and Neptune",627809c52874925390a423a6,
Intermediate Capital Group,chairperson,Lord Davies of Abersoch,2019-12-02T00:00:00Z,2022-03-04T00:00:00Z,https://www.investigate-europe.eu/posts/how-a-european-care-home-chain-moves-its-profits-offshore,08/2021,"Lord Davies of Abersoch, a former minister of state in the last British Labour government is chairman of Intermediate Capital Group (ICG) plc, a “global alternative asset manager in private debt, credit and equity”, which manages the fund (whose ultimate beneficial owners are not known) that owns 55.5 per cent of Domus Vi.",627809c52874925390a423a6,
Kyrsten Sinema,member of political party,Democratic Party,2004-01-01T00:00:00Z,2022-12-09T00:00:00Z,https://www.npr.org/2022/01/22/1075088298/kyrsten-sinema-censure-arizona-democrats-filibuster-vote,02/2022,Arizona's Democratic Party is rebuking one of its own. Its executive board voted on Saturday to censure Sen. Kyrsten Sinema over her opposition to changing the filibuster.,65e207f52aa80c2ecbb55ddd,
National Highway Traffic Safety Administration,chairperson,Ann E. Carlson,2022-09-01T00:00:00Z,,https://legal-planet.org/2022/10/24/congrats-to-ann-carlson-on-taking-top-post-at-nhtsa/,2022-10-24,Belated congratulations to our UCLA Law colleague Ann Carlson on taking the top post at the National Highway Traffic Safety Administration.,65e207f52aa80c2ecbb55ddd,
Randy Clarke,employer,Washington Metropolitan Area Transit Authority,2022-01-01T00:00:00Z,,https://www.axios.com/local/washington-dc/2022/05/11/dc-metro-new-ceo,05/2022,"Randy Clarke, who’s coming to WMATA after leading Cap Metro in Austin, Texas, takes over as the agency faces steep pandemic-induced profit losses and a safety investigation that has sidelined over half of Metro’s railcar fleet for six months and counting.",55a5fe86fdf99b28b426af51,
Michelle O'Bonsawin,employer,Ontario Superior Court of Justice,2017-05-18T00:00:00Z,2022-09-01T00:00:00Z,https://www.thesudburystar.com/2017/05/22/sudbury-area-women-appointed-as-judges,2017-05-21,"And Michelle O’Bonsawin, general counsel with the Royal Ottawa Health Care Group in Ottawa, has been appointed a judge of the Superior Court of Justice in Ottawa.",55a5fe86fdf99b28b426af51,
Isabelle Demers,employer,Baylor University,2012-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.theladyorganist.com/five-questions-for-isabelle-demers/,2019-01-01,"Isabelle Demers is Associate Professor of Organ at Baylor School of Music in Waco, Texas",55a5fe86fdf99b28b426af51,
National Collegiate Athletic Association,chairperson,Charlie Baker,2023-03-01T00:00:00Z,,https://www.ncaa.org/sports/2023/3/1/ncaa-president-charlie-baker.aspx,3/1/2023,"Charlie Baker assumed the duties as the NCAA's sixth president on March 1, 2023.",65e207f52aa80c2ecbb55ddd,
Roman Catholic Archdiocese of Cardiff,chairperson,George Stack,2011-04-19T00:00:00Z,2022-04-27T00:00:00Z,https://www.bishop-accountability.org/news2017/09_10/2017_09_13_Spillett_TributesTo.htm,9/13/2017,Archbishop of Cardiff George Stack paid tribute to a man who was 'a priest to his fingertips'.,65f54bfd77f3db0d47887b37,
Roman Catholic Archdiocese of Cardiff,chairperson,Mark O'Toole,2022-04-27T00:00:00Z,,https://www.catholicnewsagency.com/news/251075/pope-francis-names-new-archbishop-to-lead-two-catholic-dioceses-in-wales,4/27/2022,"O’Toole succeeds the 75-year-old Archbishop George Stack as the head of Cardiff archdiocese, which is based in the Welsh capital.
O’Toole was born in England on June 22, 1963, the youngest son of Marcus and Maura O’Toole, originally from the Irish-speaking community of Connemara, western Ireland.

He was ordained a priest for the Archdiocese of Westminster in 1990 and served as private secretary to Cardinal Cormac Murphy-O’Connor, the archbishop of Westminster, from 2002 to 2008.",65f54bfd77f3db0d47887b37,
Kendall Jenner,unmarried partner,Devin Booker,2020-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://people.com/tv/kendall-jenner-boyfriend-devin-booker-celebrate-1-year-anniversary/,6/13/2021,"Jenner and Booker — who were first spotted together in April 2020 on a road trip from L.A. to Arizona — made their relationship Instagram official on Valentine's Day after months of keeping their romance private.

In Jenner's holiday photo, the pair cuddled on top of a countertop and shared a silly moment as the model covered her face while smiling widely. The model captioned it with a single white heart emoji.",65f54bfd77f3db0d47887b37,
"Twitter, Inc.",chief executive officer,Parag Agrawal,2021-11-01T00:00:00Z,2022-10-27T00:00:00Z,https://www.nytimes.com/2021/11/29/technology/parag-agrawal-twitter.html,11/29/2021,"On Monday, Mr. Dorsey made the handover complete when he stepped down as chief executive and Mr. Agrawal, 37, was named Twitter’s new leader.",65f54bfd77f3db0d47887b37,
Conservative Party,chairperson,Liz Truss,2022-09-05T00:00:00Z,2022-10-24T00:00:00Z,https://www.npr.org/2022/09/06/1121266992/liz-truss-prime-minister-queen-elizabeth,9/6/2022,"Queen Elizabeth II welcomes Liz Truss on Tuesday during an audience at Balmoral, Scotland, where the monarch invited the newly elected leader of the Conservative Party to become prime minister and form a new government.",65f54bfd77f3db0d47887b37,
Independent Senators Group,chairperson,Yuen Pau Woo,2017-09-25T00:00:00Z,2021-12-31T00:00:00Z,https://www.cbc.ca/news/politics/yuen-pau-woo-senate-independents-1.4305667,9/25/2017,Independent Senators Group's chairperson is Yuen Pau Woo,660c9ac127c7212356b11892,
Chelsea F.C.,chairperson,Bruce Buck,2004-03-01T00:00:00Z,2022-06-01T00:00:00Z,http://news.bbc.co.uk/sport2/hi/football/teams/c/chelsea/3526961.stm,3/2/2004,Bates leaves Chelsea,660c9ac127c7212356b11892,
Chelsea F.C.,chairperson,Todd Boehly,2022-06-01T00:00:00Z,,https://www.theguardian.com/football/2022/jun/22/todd-boehly-new-chelsea-chairman-marina-granovskaia-exits-shakeup-board-revealed-abramovich,6/22/2022,Todd Boehly the new Chelsea chairman as Marina Granovskaia exits in shakeup,660c9ac127c7212356b11892,
Conservative Party,chairperson,Boris Johnson,2019-07-23T00:00:00Z,2022-09-05T00:00:00Z,https://www.theguardian.com/politics/2019/jul/23/boris-johnson-elected-new-tory-leader-prime-minister,7/23/2019,Boris Johnson elected new Tory leader,660c9ac127c7212356b11892,
Melanie Finch,employer,Monash University,2018-02-01T00:00:00Z,2022-01-01T00:00:00Z,https://lens.monash.edu/@melanie-finch,2019-01-01,"Melanie’s is a structural and metamorphic geologist at the School of Earth, Atmosphere and Environment at Monash University",Belinda,
Melanie Finch,employer,James Cook University,2022-01-01T00:00:00Z,,https://research.jcu.edu.au/portfolio/melanie.finch/,2022-01-01,"Dr Melanie Finch is a structural and metamorphic geologist at James Cook University, Australia",Belinda,
Linda Yaccarino,employer,X Corp.,2023-05-12T00:00:00Z,,https://www.bbc.com/news/business-65574826,06/2023,Elon Musk names Linda Yaccarino new Twitter boss,Belinda,
Linda Yaccarino,employer,X,2023-05-12T00:00:00Z,,https://finance.yahoo.com/news/linda-yaccarino-sticks-x-elon-140136916.html,12/2023,Linda Yaccarino sticks by X and Elon Musk even as ad industry peers call on her to resign amid antisemitism scandal,Belinda,
Catherine Walworth,employer,Columbia Museum of Art,2016-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.wvik.org/arts-culture/2018-12-11/pollocks-mural-continues-international-tour,01/2019,Catherine Walworth is the Curator of the Columbia art museum.,Belinda,
Tracy Camp,employer,Colorado School of Mines,1998-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.nytimes.com/2019/01/24/technology/computer-science-courses-college.html,02/2019,"Likewise, Tracy Camp, head of the computer science department at the Colorado School of Mines — a public university where the number of computer science majors has more than doubled in recent years — said she was determined not to put in deterrents like capping the major. Instead, she said, class sizes had sharply increased.",Belinda,
Freedom Caucus,chairperson,Scott Perry,2022-01-01T00:00:00Z,,https://www.pewresearch.org/short-reads/2023/01/23/freedom-caucus-likely-to-play-a-bigger-role-in-new-gop-led-house-so-who-are-they/,02/2023,"Only one Freedom Caucus member, Chairman Scott Perry of Pennsylvania, comes from the Northeast.",Belinda,
Linda Yaccarino,employer,NBCUniversal,2011-10-01T00:00:00Z,2023-05-12T00:00:00Z,https://variety.com/2013/tv/news/ready-to-deal-nbcu-maven-revels-in-sport-of-blurb-sales-1200477744/,2013-05-09,"Yaccarino, now prexy of ad sales for NBCUniversal, knows how to hone in on advertiser interests, said Chris Eames, an ESPN ad sales exec who worked with her on the “Gilligan” effort, which, he added, allows her to extract as much value as she can in negotiations.",Belinda,
Alberta,head of state,Charles III of the United Kingdom,2022-09-08T00:00:00Z,,https://www.bbc.com/news/uk-59135132,9/8/2022,"After Queen Elizabeth II died, the throne passed immediately and without ceremony to King Charles III.",Belinda,
Cook Islands,head of state,Charles III of the United Kingdom,2022-09-08T00:00:00Z,,https://www.bbc.com/news/uk-59135132,9/8/2022,"After Queen Elizabeth II died, the throne passed immediately and without ceremony to King Charles III.",Belinda,
National Collegiate Athletic Association,chairperson,Mark Emmert,2010-04-01T00:00:00Z,2023-02-28T00:00:00Z,http://www.pbs.org/wgbh/pages/frontline/money-and-march-madness/interviews/mark-emmert.html,2011-02-14,Emmert is the president of the NCAA.,Belinda,
New Zealand,head of state,Elizabeth II,1952-02-06T00:00:00Z,2022-09-08T00:00:00Z,https://news.sky.com/story/which-countries-recognise-queen-elizabeth-as-head-of-state-12073304,9/18/2020,"The Queen is head of state of 16 countries that are a part of the Commonwealth realm, including the UK.

These include Australia, Canada and New Zealand, as well as several island nations in the Caribbean and Indian Ocean.",Belinda,
New Zealand,head of state,Charles III of the United Kingdom,2022-09-08T00:00:00Z,,https://www.bbc.com/news/uk-59135132,9/8/2022,"These include Australia, Canada and New Zealand, as well as several island nations in the Caribbean and Indian Ocean.",Belinda,
Trinity,employer,Total Nonstop Action Wrestling,2023-01-01T00:00:00Z,,https://www.thesportster.com/wwe-naomi-career-revival-trinity-tna/,2023-11-21,"Following her departure from WWE, many wondered what the future would have in store for Trinity. Formerly known as Naomi, fans finally got their answer when it was announced that she had signed with TNA.",Belinda,
U.S. Agency for Global Media,chief executive officer,Kelu Chao,2021-01-20T00:00:00Z,2022-12-06T00:00:00Z,https://www.dw.com/en/us-foreign-broadcasters-get-new-chiefs-under-biden/a-56331307,02/2021,"Kelu Chao, the acting CEO of the US Agency for Global Media (USAGM), said the broadcasters ""now have leadership that will promote democracy and other American values abroad.""",Belinda,
National Party of Australia,chairperson,Barnaby Joyce,2021-06-21T00:00:00Z,2022-05-30T00:00:00Z,https://www.theguardian.com/australia-news/2021/jul/15/former-nationals-president-says-recycling-barnaby-joyce-may-lead-to-more-women-leaving-party,2021-07-14,"The intervention comes amid heated discussion within the Nationals about the future direction of the party after the reinstatement of Barnaby Joyce as leader, the preselection of former state director Ross Cadell for a plum Senate position in NSW, and after the Queensland senator Matt Canavan said farmers were just a small constituency of the Nationals.",Belinda,
Alberta,head of state,Elizabeth II,1952-02-06T00:00:00Z,2022-09-08T00:00:00Z,https://news.sky.com/story/which-countries-recognise-queen-elizabeth-as-head-of-state-12073304,2020-09-18,"These include Australia, Canada and New Zealand, as well as several island nations in the Caribbean and Indian Ocean.",Belinda,
Kendall Jenner,unmarried partner,,2023-12-17T00:00:00Z,,https://people.com/bad-bunny-kendall-jenner-split-source-8402569,12/17/2023,,Belinda,
United States House of Representatives,chairperson,,2023-10-03T00:00:00Z,2023-10-25T00:00:00Z,https://www.reuters.com/world/us/mccarthy-says-he-thinks-he-will-survive-leadership-challenge-us-house-2023-10-03/,10/4/2023,,Belinda,
Intermediate Capital Group,chairperson,,2022-03-04T00:00:00Z,2023-01-31T00:00:00Z,https://www.icgam.com/2022/03/04/board-update/,3/4/2022,,Belinda,
Emily Moore,member of sports team,Lewes F.C. Women,2022-09-01T00:00:00Z,,https://lewesfc.com/news/emily-moore-signing-interview/,2022-07-21,‘The team has been super welcoming’ – Moore discusses joining Rooks – Lewes Community Football Club,Belinda,
Casey Phair,member of sports team,South Korea women's national association football team,2023-01-01T00:00:00Z,,https://www.forbes.com/sites/manasipathak-1/2023/07/05/womens-world-cup-us-born-casey-phair-in-south-koreas-squad/,2023-07-05,"Sixteen-year-old Casey Phair was included in South Korea’s squad for the Women’s World Cup, as the striker became the first player of mixed heritage to be selected for a Korean World Cup squad.",Belinda,
Brittyn Fleming,member of sports team,Minnesota Whitecaps,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://msumavericks.com/news/2022/7/26/womens-hockey-fleming-inks-deal-with-whitecaps.aspx,2022-07-26,"Mankato, Minn. --- The Minnesota Whitecaps have announced that they have signed Minnesota State center Brittyn Fleming to a 2022-23 Premier Hockey Federation contract.",Belinda,
Sam Welsford,member of sports team,Bora-Hansgrohe,2024-01-01T00:00:00Z,,https://www.cyclingnews.com/news/the-new-sam-hes-a-powerhouse-van-poppel-compares-welsford-to-kittel-greipel/,2024-01-16,Sam Welsford (Bora-Hansgrohe) is congratulated by his new teammates on his victory on stage 1 of the Tour Down Under,Belinda,
Jordan Caroline,member of sports team,Melbourne United,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://nevadasportsnet.com/news/reporters/nevada-basketball-alums-jordan-caroline-dj-fenner-sign-overseas-deals,08/2022,"Caroline signed with Melbourne United, sliding into the team's final import spot.",65426218a897aa5198b41517,
Matthew Smith,member of sports team,Hull City A.F.C.,2021-08-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.bbc.co.uk/sport/football/58121353,08/2021,Manchester City have loaned midfielder Matt Smith to Championship side Hull City for the 2021-22 season.,65426218a897aa5198b41517,
Joey Rosskopf,member of sports team,Human Powered Health,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.cyclingweekly.com/news/womens-peloton-moves-away-from-purple-but-converges-on-new-theme,2021-12-22,"The men's team ride at ProTour level and includes former WorldTour riders Joey Rosskopf, Chad Haga and Ben King.",65426218a897aa5198b41517,
Matt Tomkins,member of sports team,Frölunda HC,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.championshockeyleague.com/en/interviews/it-was-do-or-die-for-us-matthew-tomkins-speaks-as-frolunda-advance,2021-10-13,"After stopping 26 of the 27 shots he faced, Frölunda netminder Matthew Tomkins was quick to praise the efforts of his team in the win.",660d8634ed6b3d1a7491669d,
Joel King,member of sports team,Australia men's national soccer team,2022-01-01T00:00:00Z,,https://www.theguardian.com/football/2023/jun/06/graham-arnold-names-inexperienced-socceroos-squad-for-friendly-against-argentina,2023-06-10,"A host of other players with limited international experience, including Jordan Bos, Joe Gauci, Joel King and Ryan Strain, will get a chance to impress Arnold on the trip to China, with 15 of the 23 names on Arnold’s list boasting just 49 caps between them.",65426218a897aa5198b41517,
Massimo Luongo,member of sports team,Sheffield Wednesday F.C.,2019-08-01T00:00:00Z,2022-06-01T00:00:00Z,https://www.skysports.com/football/news/11688/11827292/sheffield-wednesday-1-0-wigan-massimo-luongo-nets-winner,10/2019,Sheffield Wednesday's Massimo Luongo marked his first league start for the club with the only goal in a 1-0 victory at home to Wigan.,6608c1c547d39b00a1316c08,
Joey Rosskopf,member of sports team,Q36.5 Pro Cycling Team,2023-01-01T00:00:00Z,,https://velo.outsideonline.com/news/q36-5-unveils-new-kits-bikes-for-debut-season/,12/2023,The team will debut at the Saudi Tour later this month. Among the 24 riders are Americans Joey Rosskopf and Corey Davis.,6608c1c547d39b00a1316c08,
Hayden Sargis,member of sports team,Loudoun United FC,2022-01-01T00:00:00Z,,https://www.dcunited.com/news/d-c-united-loan-defender-hayden-sargis-to-phoenix-rising-fc,09/2022,D.C. United Loan Defender Hayden Sargis to Phoenix Rising FC,6608c1c547d39b00a1316c08,
Ben Foster,member of sports team,Wrexham A.F.C.,2023-03-23T00:00:00Z,2023-08-21T00:00:00Z,https://nypost.com/2023/03/23/goalie-ben-foster-joins-ryan-reynolds-owned-soccer-darling-wrexham/,04/2023,"Ben Foster, a former goalkeeper for the England national soccer team, has joined Wrexham AFC – the Welsh team owned by actors Ryan Reynolds and Rob McElhenney that has been making waves in the fifth division of pro soccer in the United Kingdom.",660d8634ed6b3d1a7491669d,
Ben Wiggins,member of sports team,Fensham Howes-MAS Design,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://www.cyclingnews.com/features/pidcocks-dad-and-wiggins-son-the-future-of-bike-racing/,04/2022,"The Fensham Howes-MAS Design team line up as follows for Kuurne-Brussel-Kuurne: Jacob Bush, Alex Beldon, Matthew Brennan, Jed Smithson, Ben Wiggins.",659eef091fd0fed320216f30,
Emily Moore,member of sports team,West Ham United F.C. Women,2022-01-01T00:00:00Z,2022-06-01T00:00:00Z,https://gothunderbirds.ca/news/2022/1/17/womens-soccer-t-birds-goalkeeper-emily-moore-signs-pro-deal-with-west-ham-united-of-wsl.aspx,02/2022,"East London has come calling for recently graduated Thunderbirds cornerstone goalkeeper Emily Moore who late last week signed a professional contract overseas with West Ham United of the FA Women's Super League, the top flight women's soccer league in England.",659eef091fd0fed320216f30,
Sergiño Dest,member of sports team,AC Milan,2022-09-01T00:00:00Z,2023-06-30T00:00:00Z,https://www.cbssports.com/soccer/news/ac-milan-vs-inter-milan-why-both-stefano-pioli-and-simone-inzaghi-need-to-win-derby-della-madonnina/,09/2022,"Also, injuries are creating some issues on the right side, that's why AC Milan decided to sign American international Sergiño Dest on Deadline Day.",659eef091fd0fed320216f30,
Harry Tanfield,member of sports team,Ribble Pro Cycling,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.darlingtonandstocktontimes.co.uk/news/20624918.great-aytons-tanfield-brothers-road-cycling-success/,09/2022,"Harry has multiple podiums in road races to his name as well as winning a stage of the Tour de Yorkshire and Commonwealth silver. He has just had the National Series Road Races on the Isle of Man, then he and Charlie are travelling to France for a Stage Race, followed by Belgium at the start of September, which will feed into the Tour of Britain. The pair are part of the Ribble Weldtite Team, with a busy season in the UK and Europe.",660d8634ed6b3d1a7491669d,
Dwight Howard,member of sports team,Los Angeles Lakers,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.latimes.com/sports/lakers/story/2021-08-02/lakers-free-agency-dwight-howard-agreement,08/2021,"In what will be his third stint with the Lakers, center Dwight Howard agreed to join the team once again on a one-year deal, according to a person with knowledge of the situation not authorized to speak publicly.",65426218a897aa5198b41517,
Max Walker,member of sports team,Trinity Racing,2021-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://www.cyclingnews.com/news/trinity-racing-unveils-six-man-squad-for-tour-of-britain-debut/,09/2021,"Blevins will be joined in the Trinity team by talented teenagers Thomas Gloag and Luke Lamperti, plus 20-year-olds Ben Healy, Rudy Porter, and Max Walker.",55da1c4669dbc30010b67569,
Matt Tomkins,member of sports team,Syracuse Crunch,2023-01-01T00:00:00Z,,https://thehockeynews.com/nhl/tampa-bay-lightning/news/matt-tomkins-earns-first-win-with-ahl-syracuse-crunch,12/2023,Matt Tomkins earned his first win with the Syracuse Crunch last night.,55da1c4669dbc30010b67569,
Dominic Fletcher,member of sports team,Amarillo Sod Poodles,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.amarillo.com/story/sports/2021/07/15/sod-poodles-bounce-back-4-3-win-over-midland/7981797002/,08/2021,"At the plate, right fielder Dominic Fletcher (1-4, one run, RBI) hit his eighth home run of the season with a solo shot in the top of the first inning that put the Soddies on the board early.",55da1c4669dbc30010b67569,
Emily Watts,member of sports team,Duolar-Chevalmeire,2024-01-01T00:00:00Z,,https://www.roadnationals.org.au/post/feels-like-a-dream-ruby-roseman-gannon-wins-elite-women-s-road-race-national-title,2024-01-07,2023 National Road Series winner Emily Watts (Duolar – Chevalmeire),60be564e25fb83d2179d4766,
Riley Sheehan,member of sports team,Israel-Premier Tech,2023-08-01T00:00:00Z,,https://israelpremiertech.com/paris-tours-winner-riley-sheehan-inks-three-year-deal-with-ipt/,12/2023,"Riley Sheehan was the surprise winner of Paris – Tours but his well-deserved promotion to the pro ranks won’t come as a surprise to the cycling world. The 23-year-old from Boulder, Colorado, has signed a three-year contract with Israel – Premier Tech after exceeding expectations as a stagiaire.",60be564e25fb83d2179d4766,
Jesse Lingard,member of sports team,FC Seoul,2024-01-01T00:00:00Z,,https://theathletic.com/5246461/2024/02/08/jesse-lingard-south-korea-seoul-transfer/,02/2024,Jesse Lingard signs for South Korean side FC Seoul,60be564e25fb83d2179d4766,
Sean O'Mara,member of sports team,Fighting Eagles Nagoya,2023-01-01T00:00:00Z,,https://www.rappler.com/sports/japan-b-league-game-results-kai-sotto-yokohama-b-corsairs-march-27-2024/,04/2024,"Aaron Henry topscored for the Fighting Eagles with 19 points, while Sean O’mara added 18.",60be564e25fb83d2179d4766,
Chris Harper,member of sports team,Team Visma-Lease a Bike,2020-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.teamvismaleaseabike.com/race-preview/news/team-jumbo-visma-uninhibited-to-tour-de-la-provence/,03/2020,"Sports directors Jan Boven and Sierk Jan de Haan selected a team without a clear race leader. Robert Gesink, Pascal Eenkhoorn, Sepp Kuss and Chris Harper will start the race in a free role.",66232bdbf7ad4417c253f71e,
Jonjo Shelvey,member of sports team,Newcastle United F.C.,2016-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://www.theguardian.com/football/2016/jan/12/jonjo-shelvey-signs-newcastle-transfer-swansea,02/2016,The Swansea midfielder Jonjo Shelvey has completed his move to Newcastle after signing a five-and-a-half-year deal.,66232bdbf7ad4417c253f71e,
Tegan McGrady,member of sports team,Portland Thorns FC,2022-07-01T00:00:00Z,,https://www.stumptownfooty.com/2023/1/27/23574717/the-thorns-re-sign-five-players,02/2023,"Ahead of the 2023 season, the Thorns have re-signed forwards Hannah Betfort and Michele Vasconcelos, defenders Tegan McGrady and Meaghan Nally, and goalkeeper Shelby Hogan.",66232bdbf7ad4417c253f71e,
Djed Spence,member of sports team,Middlesbrough F.C.,2018-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://lastwordonsports.com/football/2020/02/04/djed-spence-agrees-new-deal-with-middlesbrough/,02/2020,Middlesbrough have confirmed that young right-back Djed Spence has agreed a new three-and-a-half-year deal at the club.,66232bdbf7ad4417c253f71e,
Djed Spence,member of sports team,Stade Rennais F.C.,2023-01-31T00:00:00Z,2023-06-30T00:00:00Z,https://www.cbssports.com/soccer/news/psg-vs-rennes-live-stream-how-to-watch-ligue-1-live-online-tv-channel-prediction-odds/,04/2023,Rennes: Terrier is out for the season while Jeremy Doku is likely to be missing until after the international break. Xeka and Lorenz Assignon will also be out injured but Desire Doue could fight off illness to feature. Warmed Omari is back from suspension and Hamari Traore should feature ahead of Djed Spence.,65426218a897aa5198b41517,
Andrew Ferguson,member of sports team,Cal State Monterey Bay Otters men's basketball,2019-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://wildcatsports.com/news/2021/11/9/mens-basketball-opens-season-in-monterey-bay.aspx,2021-11-09,Andrew Ferguson returns to the lineup after leading the Otters in scoring two years ago.,60524a9ece19f6b376473cf7,
Tino Livramento,member of sports team,Southampton F.C.,2021-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://theathletic.com/4203593/2021/08/02/southampton-sign-chelsea-teenager-tino-livramento-on-five-year-deal/,2021-08-02,Southampton have completed the signing of Chelsea academy player Tino Livramento on a five-year deal.,60524a9ece19f6b376473cf7,
Red Walters,member of sports team,Ribble Pro Cycling,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://pezcyclingnews.com/interviews/grenada-champion-red-walters-gets-pezd-ribble/,2022-11-07,"Red Walters has been racing for the UK based Ribble Weldtite team and is also the road and TT champion of Granada, Ed had to find out more.",60524a9ece19f6b376473cf7,
Scott Burgess,member of sports team,Port Vale F.C.,2019-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.stokesentinel.co.uk/sport/football/football-news/he-perfect-squad-managers-praise-3511560,11/2019,"Burgess got his chance in the side because of injuries to Manny Oyeleke and Tom Conlon and has scored twice in six appearances including starting in Vale's wins at promotion hopefuls Bradford and Crewe.

Burgess and 21-year-old on-loan Nottingham Forest player Jake Taylor are thriving in a three man midfield which also features the experienced Luke Joyce in the holding role.",660d8634ed6b3d1a7491669d,
Miles Robinson,member of sports team,Atlanta United FC,2017-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://www.atlutd.com/news/miles-robinson-named-to-2021-mls-all-star-game-roster,08/2021,"MILES ROBINSON NAMED TO 2021 MLS ALL-STAR GAME | ATLANTA UNITED FC

ATLANTA — Fresh off a breakthrough performance at the 2021 Concacaf
Gold Cup, Atlanta United defender Miles Robinson was selected to the
2021 MLS All-Star Game presented by Target",62c97799bd8ab72a531abde0,
Dakota Mathias,member of sports team,Memphis Grizzlies,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.nba.com/grizzlies/news/memphis-grizzlies-sign-dakota-mathias-to-10-day-contract-211230,01/2022,"The Memphis Grizzlies today announced the team signed wing DAKOTA
MATHIAS to a 10-day contract under the NBA’s COVID-related hardship
exception",62c97799bd8ab72a531abde0,
Dakota Mathias,member of sports team,Memphis Grizzlies,2022-01-14T00:00:00Z,2022-01-01T00:00:00Z,https://www.nba.com/grizzlies/news/memphis-grizzlies-sign-dakota-mathias-to-second-10-day-contract-220114,02/2022,"The Memphis Grizzlies today announced the team signed wing DAKOTA
MATHIAS to a 10-day contract under the NBA’s COVID-related hardship
exception",62c97799bd8ab72a531abde0,
Milovan Kapor,member of sports team,Atlético Ottawa,2020-08-01T00:00:00Z,2021-12-01T00:00:00Z,https://www.cbc.ca/sports/soccer/cpl/canadian-premier-league-wednesday-roundup-1.5693071,09/2020,Aird opened the scoring in the 65th minute on a penalty after Ottawa's Milovan Kapor picked up his second yellow card of the match.,6608c1c547d39b00a1316c08,
Roosevelt Adams,member of sports team,Terra Firma Dyip,2020-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://dailyguardian.com.ph/matthew-wright-leads-phoenixs-17-point-comeback-against-terrafirma/,01/2022,"When Phoenix looked to stay locked-in on both offense and defense, Aldrech Ramos and Roosevelt Adams of Terrafirma refused to let their team wilt early and hit back-to-back three-pointers to push their cushion to 13, 90-77, with 7:40 left in the game.",60be564e25fb83d2179d4766,
